nome;colecao;arte;foil;lingua;quantidade;valor
Goldvein Hydra;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660b119b4aadc-oacmq-2v0m9-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;1;R$ 30.25
Kellan, the Kid ;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/6603352c65616-o4w8g-ic0eq-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;1;R$ 7.43
Sword of Wealth and Power;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/66045dae2ee0f-wp6gk-rmiw6-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 47.50
Legion Extruder;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660d865339eb6-8s1mj-25kwe-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 17.55
Omenpath Journey;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660d865a1ca8d-v5c9s-gjeu5-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 11.60
Tinybones, the Pickpocket;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660335512b857-bdu8g-2zo94-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;1;R$ 31.50
Tinybones, the Pickpocket;Outlaws ofTthunder Junction(WPOTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480456/66045f4072ec1-qi7np-s6d5x-ccbbc2f57de7b9e1a79f597ed5908816.jpg;não;en;1;R$ 60.00
Annie Flash, the Veteran;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660334ff03a0c-cjs5g-kpzq6-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;1;R$ 1.35
Fomori Vault;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660ed71c3be03-cal9k-xorye-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 49.00
Grindstone;Breaking News(OTP);https://repositorio.sbrauble.com/arquivos/in/magic/480450/66045a8edd4ef-u835h-8g1k9-eb39f987dd81dad7a11eb7db0dd02d75.jpg;não;en;1;R$ 4.75
Archive Trap;Breaking News(OTP);https://repositorio.sbrauble.com/arquivos/in/magic/480450/660c492197a1a-jkog2-b8ykn-eb39f987dd81dad7a11eb7db0dd02d75.jpg;não;en;1;R$ 8.00
Slickshot Show-Off;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/66033546742b1-f0uoh-vnb43-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;2;R$ 76.00
Annie Joins Up;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660b11695064b-7kj9x-ke7jn-8b7348065e7b65eeacb807363ff9592c.jpg;sim;en;1;R$ 13.50
Vraska Joins Up;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/66047ca233838-kwjl4-p58ou-8b7348065e7b65eeacb807363ff9592c.jpg;sim;en;1;R$ 2.55
